Offence Statute,Description,Year Charged,Charges
MVA 100D,Cellphone distracted driving,01/01/2017 12:00:00 AM,"3,396"
MVA 100D,Cellphone distracted driving,01/01/2016 12:00:00 AM,"2,783"
MVA 100D,Cellphone distracted driving,01/01/2015 12:00:00 AM,"4,498"
MVA 100D,Cellphone distracted driving,01/01/2014 12:00:00 AM,"5,340"
MVA 100D,Cellphone distracted driving,01/01/2013 12:00:00 AM,"4,915"
MVA 100D,Cellphone distracted driving,01/01/2012 12:00:00 AM,"3,879"
MVA 100D,Cellphone distracted driving,01/01/2011 12:00:00 AM,"3,066"
MVA 100D,Cellphone distracted driving,01/01/2010 12:00:00 AM,"3,278"
MVA 101,Exceeding a careful and prudent speed,12/31/2017 12:00:00 AM,24
MVA 101,Exceeding a careful and prudent speed,12/31/2016 12:00:00 AM,31
MVA 101,Exceeding a careful and prudent speed,12/31/2015 12:00:00 AM,37
MVA 101,Exceeding a careful and prudent speed,12/31/2014 12:00:00 AM,42
MVA 101,Exceeding a careful and prudent speed,12/31/2013 12:00:00 AM,23
MVA 101,Exceeding a careful and prudent speed,12/31/2012 12:00:00 AM,31
MVA 101,Exceeding a careful and prudent speed,12/31/2011 12:00:00 AM,40
MVA 101,Exceeding a careful and prudent speed,12/31/2010 12:00:00 AM,33
MVA 103(3),Passing a school bus with red lights flashing,01/01/2017 12:00:00 AM,173
MVA 103(3),Passing a school bus with red lights flashing,01/01/2016 12:00:00 AM,101
MVA 103(3),Passing a school bus with red lights flashing,01/01/2015 12:00:00 AM,77
MVA 103(3),Passing a school bus with red lights flashing,01/01/2014 12:00:00 AM,56
MVA 103(3),Passing a school bus with red lights flashing,01/01/2013 12:00:00 AM,61
MVA 103(3),Passing a school bus with red lights flashing,01/01/2012 12:00:00 AM,52
MVA 103(3),Passing a school bus with red lights flashing,01/01/2011 12:00:00 AM,54
MVA 103(3),Passing a school bus with red lights flashing,01/01/2010 12:00:00 AM,71
MVA 106A,Exceeding speed limit,12/31/2017 12:00:00 AM,"21,755"
MVA 106A,Exceeding speed limit,12/31/2016 12:00:00 AM,"24,865"
MVA 106A,Exceeding speed limit,12/31/2015 12:00:00 AM,"20,829"
MVA 106A,Exceeding speed limit,12/31/2014 12:00:00 AM,"22,884"
MVA 106A,Exceeding speed limit,12/31/2013 12:00:00 AM,"25,716"
MVA 106A,Exceeding speed limit,12/31/2012 12:00:00 AM,"26,177"
MVA 106A,Exceeding speed limit,12/31/2011 12:00:00 AM,"26,824"
MVA 106A,Exceeding speed limit,12/31/2010 12:00:00 AM,"29,133"
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2017 12:00:00 AM,91
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2016 12:00:00 AM,50
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2015 12:00:00 AM,20
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2014 12:00:00 AM,56
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2013 12:00:00 AM,34
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2012 12:00:00 AM,37
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2011 12:00:00 AM,73
MVA 106B,Exceeding speed limit in temporary work area or proximity to emergency vehicle,12/31/2010 12:00:00 AM,92
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2017 12:00:00 AM,188
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2016 12:00:00 AM,197
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2015 12:00:00 AM,69
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2014 12:00:00 AM,74
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2013 12:00:00 AM,88
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2012 12:00:00 AM,52
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2011 12:00:00 AM,79
MVA 106E,Exceeding speed limit when driving by stopped emergency vehicle,12/31/2010 12:00:00 AM,12
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2017 12:00:00 AM,176
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2016 12:00:00 AM,131
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2015 12:00:00 AM,109
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2014 12:00:00 AM,117
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2013 12:00:00 AM,114
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2012 12:00:00 AM,131
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2011 12:00:00 AM,113
MVA 163,"Racing, parade or sporting event (racing/stunting)",12/31/2010 12:00:00 AM,50
